year,day_of_year,station_number,air_temp_max,air_temp_min,air_temp_mean,rh_max,rh_min,rh_mean,vpd_mean,solar_rad_total,precip_total,four_inch_soil_temp_max,four_inch_soil_temp_min,four_inch_soil_temp_mean,twenty_inch_soil_temp_max,twenty_inch_soil_temp_mine,twenty_inch_soil_temp_mean,wind_speed_mean,wind_vector_mag,wind_vector_direction,wind_direction_std,wind_speed_max,heat_units,eto_original,eto_p_m,actual_vapor_pressure_mean,dewpoint_mean,,date,gdd,cum_precip
2017,110,6,33.3,14.1,23.5,45,5.1,18.2,2.63,28.67,0,30.9,20.6,25.5,23.3,22.9,23.1,1.9,0.8,233,60,8.2,10.3,8,6.8,0.47,-3.7,,2017-04-20,14,0
2017,111,6,34.4,11.1,24,46.5,5.5,17.2,2.82,29,0,30.8,20.3,25.4,23.4,23,23.2,2.2,1.3,274,52,8.5,9.4,8.5,7.4,0.43,-4.9,,2017-04-21,26,0
2017,112,6,35.5,14.5,25,32.5,6.4,15.6,2.95,28.95,0,32.1,21.2,26.4,23.6,23.2,23.4,1.6,0.5,178,66,5.2,11,8,6.7,0.45,-4.2,,2017-04-22,41,0
2017,113,6,37,12.6,26.5,48,6.8,17.5,3.25,27.4,0,32.6,21.8,26.9,24,23.5,23.7,2.1,1.1,221,57,8.2,10.3,8.3,7.5,0.52,-2.2,,2017-04-23,56,0
2017,114,6,33.7,14.9,25.7,33.1,8.3,17.5,2.89,23.64,0,30.3,22.4,26.3,24.2,23.9,24,3,2,214,46,9.9,10.8,8,7.8,0.55,-1.7,,2017-04-24,71,0
2017,115,6,29.4,17.2,23.7,51.9,10.7,26.6,2.23,25.61,0,28.9,22.4,25.4,24.2,23.8,24,4,3.3,255,34,10.2,10.5,8.4,8,0.75,2.3,,2017-04-25,84,0
2017,116,6,31.5,14.7,24.1,31.2,8.6,16.8,2.64,28.27,0,30.6,21.1,25.8,24,23.6,23.8,2.4,1.5,271,48,8.3,10.1,8.3,7.2,0.47,-3.5,,2017-04-26,97,0
2017,117,6,32.1,16.6,25.1,40.6,15.5,24.1,2.55,24.91,0,31,22.1,25.8,27.5,23.9,25.4,2.6,1.6,237,50,8.9,11.2,7.6,7.1,0.76,2.8,,2017-04-27,111,0
2017,118,6,29.4,16,23.4,53.7,6.2,26.4,2.17,21.1,0,22.8,16.8,21,26,23.8,24.7,4.5,2.8,284,49,13.9,9.9,7.8,7.9,0.75,0.5,,2017-04-28,124,0
2017,119,6,26.3,10.9,19.5,27,9.5,16.4,1.99,29.92,0,25.2,14.3,19.5,23.8,22.1,22.7,4.3,3.3,301,38,11.1,6.1,9.2,8.2,0.36,-7.1,,2017-04-29,133,0
2017,120,6,30.2,8.9,20.7,63.9,6.7,21.3,2.17,29.91,0,28.9,16.9,22.6,22.3,21.8,22.1,1.7,0.4,261,70,6.5,7.5,7.6,6.3,0.44,-4.5,,2017-04-30,142,0
2017,121,6,33.8,11,23.2,46.7,6.3,17.6,2.63,30.03,0,30.8,18.7,24.5,22.7,22.2,22.4,1.5,0.4,170,71,6,9.2,7.9,6.6,0.45,-4.4,,2017-05-01,155,0
2017,122,6,35.8,15,25.9,47.5,7.9,17,3.05,29,0,31.1,20.6,25.6,23.3,22.7,23,2.6,1.6,198,51,8.4,11.3,8.8,8.2,0.52,-2.3,,2017-05-02,170,0
2017,123,6,37.3,14.9,27.8,50,7.8,17.6,3.37,29.51,0,32.8,22,27.2,23.9,23.3,23.5,1.7,0.2,190,77,8.3,11.5,8.5,7.2,0.6,-0.4,,2017-05-03,186,0
2017,124,6,39,16.6,28.9,44.1,7.8,18.3,3.6,29.57,0,35.7,23.1,28.6,32.8,23.9,27.2,1.6,0.3,148,72,6,12.5,8.5,7.2,0.66,1.1,,2017-05-04,204,0
2017,125,6,41.1,15.9,30.4,66.9,7,20.2,3.98,28.97,0,28.5,22.1,25.2,27.6,25.2,26,2.7,1.1,194,63,9.5,12.4,9.7,9.3,0.73,2.3,,2017-05-05,222,0
2017,126,6,35.7,19.3,27.9,38.6,9.8,20.1,3.16,28.98,0,29.4,20.9,25.1,25.2,24.3,24.7,5.9,5.4,189,24,14.7,13.3,11.9,11.8,0.72,2.1,,2017-05-06,240,0
2017,127,6,22.6,14.4,18.7,66.2,22.5,38.2,1.37,19.98,0,25.9,21,23.2,24.6,23.9,24.3,3.2,2.6,249,35,8.3,5.7,5.3,5.4,0.8,3.3,,2017-05-07,248,0
2017,128,6,26.1,11.6,18.8,79.7,20.5,36.8,1.47,23.13,0.25,28.3,19.1,23.2,23.9,23.3,23.6,2.7,2.3,217,31,12.9,6.2,6,5.8,0.77,2.9,,2017-05-08,257,0.25
2017,129,6,23.7,10.9,17.5,94.4,25,56,1.01,28.47,0.25,28.2,19.3,23.3,23.5,23,23.3,2.8,2.1,169,39,7.9,4.8,6.4,5.5,1.04,7.2,,2017-05-09,265,0.5
2017,130,6,26.2,12,19.5,73.5,22,44.3,1.39,26.54,0,28.1,19.8,24,23.3,23,23.2,2,0.8,220,64,6.7,6.4,6.1,5.5,0.94,5.9,,2017-05-10,274,0.5
2017,131,6,32.3,12.3,23.2,74.5,19,38.3,2.02,29.54,0,32.7,20.2,25.7,29.2,23.2,25.2,1.5,0.6,223,65,6.1,9.3,7.3,6.2,1,7,,2017-05-11,286,0.5
2017,132,6,35.9,18.9,27.6,51,12.6,27.3,2.95,29.3,0,28,20.7,24.5,25.9,24.1,24.6,2,1,185,58,7.4,13.1,8.3,7.5,0.93,5.9,,2017-05-12,303,0.5
2017,133,6,36.7,17.4,27.4,38.9,8.6,21.1,3.15,30.34,0,29.4,19.2,24.1,24.1,23.5,23.8,3.7,3,190,36,10.6,12.5,10.4,10,0.7,1.8,,2017-05-13,320,0.5
2017,134,6,33.8,17.4,25.9,40.3,12.8,22.5,2.74,23.71,0,28.5,20.7,24.5,23.9,23.5,23.7,4.1,3.4,184,34,11.4,12,8.6,9,0.73,2.4,,2017-05-14,336,0.5
2017,135,6,30.7,16.4,23.4,38.3,8,23.1,2.35,30.35,0,28.6,20.9,24.7,23.9,23.6,23.7,5,4.3,195,32,13.9,10.7,10.8,9.8,0.62,0.1,,2017-05-15,350,0.5
2017,136,6,25.3,11.5,19.3,49.3,12.7,27.5,1.7,29.71,0,28.6,20,24.2,23.9,23.5,23.7,2.9,2.4,244,33,9.3,5.8,7.8,6.7,0.59,-0.6,,2017-05-16,358,0.5
2017,137,6,30.3,13.3,21.6,46.1,12.8,29,2.02,29.93,0,30.8,19.8,25.1,23.8,23.4,23.6,2.9,1.8,207,49,8.4,9,8.1,7.6,0.7,1.9,,2017-05-17,370,0.5
2017,138,6,30,14.9,23.3,49.4,7.7,20.8,2.4,30.59,0,30.3,21.1,25.3,26,23.8,24.5,2.7,2,280,40,10.9,9.7,8.9,7.6,0.55,-2.2,,2017-05-18,382,0.5
2017,139,6,29.9,13.9,22,43.6,9.2,23.1,2.18,30.89,0,24.9,17,20.9,24.9,23.3,23.9,3,2.1,325,46,10.1,9.2,8.5,7.9,0.56,-1.5,,2017-05-19,394,0.5
2017,140,6,34,11.2,24.2,51.8,8,20.2,2.75,31.01,0,28.5,16.7,22.4,23.3,22.5,22.8,1.9,0.7,350,64,7.8,9.2,8.7,7.3,0.53,-2,,2017-05-20,407,0.5
2017,141,6,37.9,13.7,27.1,47,6.6,18.3,3.36,31.14,0,32.6,19.7,26,23.5,22.8,23,1.5,0.1,204,80,6.9,11,8.7,7.3,0.56,-1.3,,2017-05-21,422,0.5
2017,142,6,39.4,15.3,29.4,50.4,6.1,15.6,3.82,30.57,0,34.4,22.3,28.2,24.5,23.5,23.9,1.8,0.6,205,66,6.1,12,9,7.9,0.57,-1.1,,2017-05-22,440,0.5
2017,143,6,40.3,21.1,31.3,28.3,5,12.8,4.27,31.11,0,35.6,24.5,29.8,25.4,24.5,24.9,1.7,0.6,304,64,6.5,14.5,9.3,7.8,0.54,-1.9,,2017-05-23,461,0.5
2017,144,6,42.1,21.8,32,22.3,5.9,12.8,4.49,29.79,0,35.7,24.9,30.1,26,25.4,25.6,3,1.9,208,49,9.4,14.9,10.3,10.2,0.56,-1.1,,2017-05-24,482,0.5
2017,145,6,38,23,30.4,21.3,4.7,11.8,4,28.48,0,30.9,22.4,27.4,27.9,26,26.8,3.9,3.3,207,32,10.9,15.1,10.7,10.7,0.47,-3.6,,2017-05-25,503,0.5
2017,146,6,35.6,20.6,28,24.7,7,15.6,3.34,31.33,0,26,18.9,22.5,27,24.9,25.8,3.9,3.1,189,37,10.2,13.8,10.7,10.4,0.55,-1.4,,2017-05-26,521,0.5
2017,147,6,35.7,14.8,26.2,32,7.8,16.6,3.09,31.18,0,32.2,19,25.4,24.9,24.2,24.5,1.9,0.2,168,78,6.8,11.2,8.8,7.6,0.52,-2.1,,2017-05-27,536,0.5
2017,148,6,38.1,18,28.3,34.8,5.3,16,3.6,31,0,34.1,22,27.9,25.2,24.6,24.8,1.5,0.8,193,55,6.1,13,8.8,7.3,0.54,-2,,2017-05-28,554,0.5
2017,149,6,39.5,15.4,29.4,48.9,5.2,14.4,3.91,27.3,0,33.8,23.3,28.6,25.7,25.2,25.4,1.9,0.7,181,63,5.5,12,8.4,7.7,0.51,-2.7,,2017-05-29,572,0.5
